survey.dat auto written
105
FLT15_I:NorBarTrSur_I
1981 2020
1 1 0.137 0.137
3 12
1  	1640  	2330  	4000  	3840  	480  	100  	30  	NA  	NA  	NA
1  	2830  	2770  	2360  	1550  	1600  	140  	20  	NA  	NA  	NA
1  	2495  	5234  	4333  	1696  	582  	321  	97  	NA  	NA  	NA
1  	9749  	2828  	2144  	1174  	407  	40  	8  	NA  	NA  	NA
1  	16679  	12598  	1992  	767  	334  	21  	7  	NA  	NA  	NA
1  	80500  	14393  	6414  	830  	191  	34  	4  	NA  	NA  	NA
1  	24038  	39115  	5435  	1570  	200  	45  	3  	NA  	NA  	NA
1  	14803  	8049  	17331  	2048  	358  	53  	3  	NA  	NA  	NA
1  	4636  	7586  	3779  	9019  	982  	94  	10  	NA  	NA  	NA
1  	2835  	3487  	3459  	2056  	2723  	161  	38  	NA  	NA  	NA
1  	4585  	3367  	2565  	2149  	1215  	1267  	61  	NA  	NA  	NA
1  	15826  	5771  	1782  	1283  	767  	429  	272  	NA  	NA  	NA
1  	27389  	14013  	7248  	1583  	624  	389  	223  	NA  	NA  	NA
1  	29392  	30704  	15333  	4572  	795  	261  	148  	55  	55  	13
1  	28284  	24236  	25101  	7642  	1798  	242  	107  	50  	61  	19
1  	16308  	11743  	13859  	10888  	2443  	264  	37  	17  	12  	16
1  	31799  	6844  	7426  	5999  	2667  	485  	64  	91  	8  	NA
1  	35510  	16694  	3167  	2615  	1752  	816  	79  	52  	4  	4
1  	18848  	18075  	6139  	1271  	681  	514  	101  	26  	2  	6
1  	24581  	13003  	11173  	2675  	456  	184  	121  	33  	10  	5
1  	18279  	19511  	8290  	3796  	945  	117  	44  	19  	4  	1
1  	11836  	13756  	10895  	4579  	1440  	220  	32  	18  	5  	2
1  	37670  	12631  	9393  	6688  	1750  	467  	102  	17  	4  	4
1  	6388  	18462  	5346  	4324  	3059  	685  	165  	28  	7  	2
1  	24888  	5506  	10297  	2238  	1636  	381  	92  	30  	4  	10
1  	11649  	11538  	2832  	4342  	1372  	524  	136  	24  	18  	18
1  	36113  	12773  	6851  	1365  	2360  	682  	230  	41  	11  	10
1  	19437  	30059  	11190  	4024  	1734  	811  	179  	36  	3  	3
1  	12628  	19670  	22023  	6069  	1790  	902  	524  	51  	17  	7
