lw.dat auto written
1 2
1994  2020
2  10
1
0.91  	1.422  	1.987  	2.649  	3.479  	4.343  	5.245  	6.487  	8.825
0.784  	1.272  	1.708  	2.236  	3.073  	4.203  	5.228  	6.121  	9.469
0.874  	1.269  	1.722  	2.385  	2.968  	3.66  	4.544  	5.462  	7.814
1.115  	1.49  	1.902  	2.497  	3.219  	3.93  	4.738  	5.616  	7.768
0.719  	1.212  	1.654  	2.343  	3.346  	3.969  	4.786  	5.389  	9.584
0.989  	1.512  	1.975  	2.501  	3.331  	4.032  	4.923  	5.415  	8.339
1.019  	1.452  	2.057  	2.598  	3.447  	4.449  	5.553  	5.834  	9.781
1.014  	1.448  	1.905  	2.593  	3.266  	3.756  	4.498  	4.794  	7.711
0.929  	1.47  	2.059  	2.76  	3.59  	4.467  	5.268  	6.236  	9.943
1.082  	1.687  	2.18  	2.944  	3.754  	4.672  	5.417  	5.713  	9.07
1.145  	1.604  	2.186  	2.848  	3.64  	4.555  	5.367  	5.93  	7.991
1.112  	1.622  	2.249  	3.017  	3.539  	4.371  	5.233  	5.981  	8.32
1.522  	2.02  	2.491  	3.284  	4.075  	4.887  	5.806  	6.638  	9.71
1.072  	1.546  	2.168  	2.968  	3.987  	4.925  	5.781  	6.871  	9.771
1.153  	1.663  	2.355  	3.043  	3.97  	4.902  	5.844  	6.279  	9.239
1.331  	1.761  	2.502  	3.328  	4.196  	5.218  	6.178  	6.516  	9.248
1.252  	1.77  	2.375  	3.103  	3.834  	4.483  	5.437  	6.185  	7.599
1.08  	1.689  	2.31  	3.031  	3.906  	4.681  	5.941  	6.422  	8.346
1.01  	1.653  	2.328  	3.232  	4.246  	5.111  	6.448  	6.914  	9.446
1.107  	1.674  	2.295  	3.122  	3.997  	4.873  	5.892  	6.8  	10.104
1.187  	1.788  	2.41  	3.222  	4.118  	5.165  	5.791  	6.461  	9.643
1.055  	1.545  	2.192  	3.03  	3.745  	4.724  	5.601  	6.482  	9.044
1.279  	1.774  	2.363  	3.171  	3.972  	4.868  	5.893  	6.85  	8.928
1.316  	1.785  	2.468  	3.225  	4.077  	5.014  	5.977  	6.933  	9.356
1.141  	1.7  	2.307  	3.09  	3.878  	4.77  	5.711  	6.581  	9.333
1.431  	1.904  	2.615  	3.254  	4.116  	4.868  	5.748  	6.562  	8.561
1.487  	2.147  	2.823  	3.514  	4.218  	4.932  	5.655  	6.387  	9.024
